                            OLS Regression Results                            
==============================================================================
Dep. Variable:           attack_count   R-squared:                       0.650
Model:                            OLS   Adj. R-squared:                  0.298
Method:                 Least Squares   F-statistic:                     1.844
Date:                Wed, 12 Nov 2025   Prob (F-statistic):           1.47e-08
Time:                        15:01:45   Log-Likelihood:                -965.79
No. Observations:                 670   AIC:                             2606.
Df Residuals:                     333   BIC:                             4125.
Df Model:                         336                                         
Covariance Type:            nonrobust                                         
=============================================================================================
                                coef    std err          t      P>|t|      [0.025      0.975]
C(time_period)[T.2004-10]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2004-11]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2004-12]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2005-01]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2005-02]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2005-03]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2005-04]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2005-05]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2005-06]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2005-07]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2005-08]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2005-09]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2005-10]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2005-11]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2005-12]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2006-01]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2006-02]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2006-03]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2006-04]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2006-05]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2006-06]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2006-07]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2006-08]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2006-09]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2006-10]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2006-11]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2006-12]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2007-01]     0.2591      1.455      0.178      0.859      -2.604       3.122
C(time_period)[T.2007-02]    -0.2409      1.455     -0.166      0.869      -3.104       2.622
C(time_period)[T.2007-03]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2007-04]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2007-05]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2007-06]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2007-07]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2007-08]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2007-09]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2007-10]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2007-11]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2007-12]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2008-01]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2008-02]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2008-03]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2008-04]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2008-05]    -0.2409      1.455     -0.166      0.869      -3.104       2.622
C(time_period)[T.2008-06]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2008-07]    -0.2409      1.455     -0.166      0.869      -3.104       2.622
C(time_period)[T.2008-08]     0.2591      1.455      0.178      0.859      -2.604       3.122
C(time_period)[T.2008-09]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2008-10]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2008-11]     0.2591      1.455      0.178      0.859      -2.604       3.122
C(time_period)[T.2008-12]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2009-01]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2009-02]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2009-03]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2009-04]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2009-05]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2009-06]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2009-07]    -0.2409      1.455     -0.166      0.869      -3.104       2.622
C(time_period)[T.2009-08]     1.2591      1.455      0.865      0.388      -1.604       4.122
C(time_period)[T.2009-09]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2009-10]     0.2591      1.455      0.178      0.859      -2.604       3.122
C(time_period)[T.2009-11]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2009-12]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2010-01]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2010-02]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2010-03]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2010-04]    -0.2409      1.455     -0.166      0.869      -3.104       2.622
C(time_period)[T.2010-05]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2010-06]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2010-07]    -0.2409      1.455     -0.166      0.869      -3.104       2.622
C(time_period)[T.2010-08]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2010-09]     0.2591      1.455      0.178      0.859      -2.604       3.122
C(time_period)[T.2010-10]     0.2591      1.455      0.178      0.859      -2.604       3.122
C(time_period)[T.2010-11]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2010-12]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2011-01]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2011-02]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2011-03]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2011-04]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2011-05]    -0.2409      1.455     -0.166      0.869      -3.104       2.622
C(time_period)[T.2011-06]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2011-07]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2011-08]    -1.7409      1.455     -1.196      0.232      -4.604       1.122
C(time_period)[T.2011-09]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2011-10]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2011-11]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2011-12]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2012-01]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2012-02]    -0.7409      1.455     -0.509      0.611      -3.604       2.122
C(time_period)[T.2012-03]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
C(time_period)[T.2012-04]     1.7591      1.455      1.209      0.228      -1.104       4.622
C(time_period)[T.2012-05]    -1.2409      1.455     -0.853      0.394      -4.104       1.622
